[TensorBoard] Logging enabled: parallel_experiments/Reacher-v2_20250724_145146/seed_7/tensorboard_logs
[INFO] View training progress: tensorboard --logdir parallel_experiments/Reacher-v2_20250724_145146/seed_7/tensorboard_logs
[TensorBoard] Using TensorBoard for training logging
#Games: 3038 #Frames: 151900  Train_Max: -3.18  Test_Score: -5.81  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.20  PG Loss: 2.1917

#Games: 3069 #Frames: 153450  Train_Max: -5.57  Test_Score: -7.15  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.06  PG Loss: 2.1838

Sync from RL --> Nevo
#Games: 3100 #Frames: 155000  Train_Max: -4.01  Test_Score: -6.70  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.51  PG Loss: 2.1841

#Games: 3131 #Frames: 156550  Train_Max: -3.69  Test_Score: -5.92  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -3.31  PG Loss: 2.1779

#Games: 3162 #Frames: 158100  Train_Max: -4.32  Test_Score: -7.31  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.46  PG Loss: 2.1761

#Games: 3193 #Frames: 159650  Train_Max: -3.71  Test_Score: -4.47  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -4.65  PG Loss: 2.1722

#Games: 3224 #Frames: 161200  Train_Max: -3.88  Test_Score: -5.96  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.52  PG Loss: 2.1662

Progress Saved
#Games: 3255 #Frames: 162750  Train_Max: -5.72  Test_Score: -5.08  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -3.58  PG Loss: 2.1664

#Games: 3286 #Frames: 164300  Train_Max: -4.31  Test_Score: -8.32  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.43  PG Loss: 2.1713

#Games: 3317 #Frames: 165850  Train_Max: -5.38  Test_Score: -6.68  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -4.95  PG Loss: 2.1732

#Games: 3348 #Frames: 167400  Train_Max: -5.88  Test_Score: -7.59  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -7.37  PG Loss: 2.1629

#Games: 3379 #Frames: 168950  Train_Max: -5.92  Test_Score: -8.21  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -7.80  PG Loss: 2.1747

Sync from RL --> Nevo
#Games: 3410 #Frames: 170500  Train_Max: -6.14  Test_Score: -8.43  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.05  PG Loss: 2.1760

Progress Saved
#Games: 3441 #Frames: 172050  Train_Max: -5.18  Test_Score: -5.42  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.56  PG Loss: 2.1721

#Games: 3472 #Frames: 173600  Train_Max: -7.85  Test_Score: -7.32  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.65  PG Loss: 2.1680

#Games: 3503 #Frames: 175150  Train_Max: -3.33  Test_Score: -7.91  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.76  PG Loss: 2.1585

#Games: 3534 #Frames: 176700  Train_Max: -4.08  Test_Score: -6.65  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -4.14  PG Loss: 2.1619

#Games: 3565 #Frames: 178250  Train_Max: -5.16  Test_Score: -8.63  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.93  PG Loss: 2.1505

#Games: 3596 #Frames: 179800  Train_Max: -2.96  Test_Score: -5.55  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.14  PG Loss: 2.1484

#Games: 3627 #Frames: 181350  Train_Max: -5.11  Test_Score: -7.35  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.85  PG Loss: 2.1481

Progress Saved
#Games: 3658 #Frames: 182900  Train_Max: -4.76  Test_Score: -5.70  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.41  PG Loss: 2.1436

#Games: 3689 #Frames: 184450  Train_Max: -5.30  Test_Score: -4.65  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.04  PG Loss: 2.1300

Sync from RL --> Nevo
#Games: 3720 #Frames: 186000  Train_Max: -6.39  Test_Score: -4.40  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.05  PG Loss: 2.1321

#Games: 3751 #Frames: 187550  Train_Max: -3.28  Test_Score: -6.04  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.49  PG Loss: 2.1353

#Games: 3782 #Frames: 189100  Train_Max: -3.31  Test_Score: -5.87  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.51  PG Loss: 2.1309

#Games: 3813 #Frames: 190650  Train_Max: -5.29  Test_Score: -5.82  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -4.90  PG Loss: 2.1234

Progress Saved
#Games: 3844 #Frames: 192200  Train_Max: -5.59  Test_Score: -5.11  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.08  PG Loss: 2.1221

#Games: 3875 #Frames: 193750  Train_Max: -5.49  Test_Score: -6.06  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -4.93  PG Loss: 2.1160

#Games: 3906 #Frames: 195300  Train_Max: -5.62  Test_Score: -6.39  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.88  PG Loss: 2.1113

#Games: 3937 #Frames: 196850  Train_Max: -2.95  Test_Score: -6.14  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.90  PG Loss: 2.1023

#Games: 3968 #Frames: 198400  Train_Max: -5.42  Test_Score: -6.84  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -4.90  PG Loss: 2.1027

#Games: 3999 #Frames: 199950  Train_Max: -3.89  Test_Score: -5.08  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -7.03  PG Loss: 2.0964

Sync from RL --> Nevo
#Games: 4030 #Frames: 201500  Train_Max: -4.54  Test_Score: -4.66  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.46  PG Loss: 2.0856

Progress Saved
#Games: 4061 #Frames: 203050  Train_Max: -5.06  Test_Score: -5.46  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.67  PG Loss: 2.0816

#Games: 4092 #Frames: 204600  Train_Max: -4.39  Test_Score: -6.12  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.88  PG Loss: 2.0644

#Games: 4123 #Frames: 206150  Train_Max: -3.66  Test_Score: -3.71  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.43  PG Loss: 2.0523

#Games: 4154 #Frames: 207700  Train_Max: -4.01  Test_Score: -6.84  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -4.76  PG Loss: 2.0515

#Games: 4185 #Frames: 209250  Train_Max: -4.59  Test_Score: -6.81  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -4.80  PG Loss: 2.0523

#Games: 4216 #Frames: 210800  Train_Max: -5.24  Test_Score: -5.59  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.09  PG Loss: 2.0468

Progress Saved
#Games: 4247 #Frames: 212350  Train_Max: -4.57  Test_Score: -6.27  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.32  PG Loss: 2.0390

#Games: 4278 #Frames: 213900  Train_Max: -4.84  Test_Score: -5.62  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.75  PG Loss: 2.0399

#Games: 4309 #Frames: 215450  Train_Max: -7.09  Test_Score: -8.54  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.45  PG Loss: 2.0320

Sync from RL --> Nevo
#Games: 4340 #Frames: 217000  Train_Max: -4.53  Test_Score: -6.34  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.04  PG Loss: 2.0358

#Games: 4371 #Frames: 218550  Train_Max: -4.48  Test_Score: -7.05  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.28  PG Loss: 2.0431

#Games: 4402 #Frames: 220100  Train_Max: -5.83  Test_Score: -6.87  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.59  PG Loss: 2.0387

Progress Saved
#Games: 4433 #Frames: 221650  Train_Max: -5.78  Test_Score: -4.20  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.86  PG Loss: 2.0443

#Games: 4464 #Frames: 223200  Train_Max: -3.78  Test_Score: -5.31  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.85  PG Loss: 2.0368

