bash: warning: setlocale: LC_ALL: cannot change locale (en_US.UTF-8)
[TensorBoard] Logging enabled: parallel_experiments/HalfCheetah-v2_standard_20250729_145817/seed_3/tensorboard_logs
[INFO] View training progress: tensorboard --logdir parallel_experiments/HalfCheetah-v2_standard_20250729_145817/seed_3/tensorboard_logs
[TensorBoard] Using TensorBoard for training logging
{   'action_dim': 6,
#Games: 715 #Frames: 715000  Train_Max: 6131.89  Test_Score: 6056.63  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 6240.41  PG Loss: -567.3597

#Games: 726 #Frames: 726000  Train_Max: 6117.80  Test_Score: 6114.82  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 6446.03  PG Loss: -571.4187

#Games: 737 #Frames: 737000  Train_Max: 6172.10  Test_Score: 6148.85  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 6590.17  PG Loss: -575.6406

#Games: 748 #Frames: 748000  Train_Max: 6233.39  Test_Score: 6197.24  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 6635.02  PG Loss: -579.0312

#Games: 759 #Frames: 759000  Train_Max: 6173.12  Test_Score: 6146.48  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 6561.59  PG Loss: -582.2189

Sync from RL --> Nevo
#Games: 770 #Frames: 770000  Train_Max: 6136.50  Test_Score: 6208.42  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 6516.61  PG Loss: -585.2759

#Games: 781 #Frames: 781000  Train_Max: 6500.82  Test_Score: 6527.62  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 6774.57  PG Loss: -588.5080

#Games: 792 #Frames: 792000  Train_Max: 6478.89  Test_Score: 6287.50  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 6584.95  PG Loss: -592.0070

#Games: 803 #Frames: 803000  Train_Max: 6534.59  Test_Score: 6510.89  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 6628.10  PG Loss: -595.4047

Progress Saved
#Games: 814 #Frames: 814000  Train_Max: 6439.72  Test_Score: 6344.26  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 6673.61  PG Loss: -598.4792

#Games: 825 #Frames: 825000  Train_Max: 6385.92  Test_Score: 6288.35  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 6774.10  PG Loss: -601.2946

#Games: 836 #Frames: 836000  Train_Max: 6675.87  Test_Score: 6622.54  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 6725.37  PG Loss: -604.9532

#Games: 847 #Frames: 847000  Train_Max: 6501.57  Test_Score: 6508.46  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 6874.58  PG Loss: -607.8015

#Games: 858 #Frames: 858000  Train_Max: 6637.70  Test_Score: 6538.09  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 6623.53  PG Loss: -611.1057

#Games: 869 #Frames: 869000  Train_Max: 6450.72  Test_Score: 6611.06  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 6825.03  PG Loss: -614.0973

Sync from RL --> Nevo
#Games: 880 #Frames: 880000  Train_Max: 6613.42  Test_Score: 6627.97  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 6861.12  PG Loss: -616.6995

#Games: 891 #Frames: 891000  Train_Max: 7023.47  Test_Score: 6870.90  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 6585.43  PG Loss: -620.3977

#Games: 902 #Frames: 902000  Train_Max: 6963.08  Test_Score: 6915.43  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 6787.29  PG Loss: -624.1461

#Games: 913 #Frames: 913000  Train_Max: 6801.44  Test_Score: 6922.74  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 6847.27  PG Loss: -627.8251

#Games: 924 #Frames: 924000  Train_Max: 6814.60  Test_Score: 6908.12  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 6852.56  PG Loss: -631.7301

#Games: 935 #Frames: 935000  Train_Max: 6927.53  Test_Score: 6914.70  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 6945.12  PG Loss: -635.9128

#Games: 946 #Frames: 946000  Train_Max: 6994.01  Test_Score: 6841.94  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 6968.21  PG Loss: -639.7765

#Games: 957 #Frames: 957000  Train_Max: 6832.82  Test_Score: 6736.15  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 7071.68  PG Loss: -643.0746

#Games: 968 #Frames: 968000  Train_Max: 6821.86  Test_Score: 6785.51  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 7020.51  PG Loss: -646.3498

#Games: 979 #Frames: 979000  Train_Max: 6870.53  Test_Score: 6812.37  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 7013.18  PG Loss: -649.4264

Sync from RL --> Nevo
#Games: 990 #Frames: 990000  Train_Max: 6736.12  Test_Score: 6692.86  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 7169.46  PG Loss: -652.8453

#Games: 1001 #Frames: 1001000  Train_Max: 7203.48  Test_Score: 7208.55  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 7299.68  PG Loss: -655.6205

Progress Saved
#Games: 1012 #Frames: 1012000  Train_Max: 7303.22  Test_Score: 7214.21  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 7271.73  PG Loss: -659.3340

#Games: 1023 #Frames: 1023000  Train_Max: 7261.26  Test_Score: 7152.89  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 7311.52  PG Loss: -662.9120

#Games: 1034 #Frames: 1034000  Train_Max: 7132.48  Test_Score: 7179.93  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 7337.07  PG Loss: -666.9391

#Games: 1045 #Frames: 1045000  Train_Max: 7421.80  Test_Score: 7355.21  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 7545.92  PG Loss: -670.9711

#Games: 1056 #Frames: 1056000  Train_Max: 7322.08  Test_Score: 7305.59  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 7574.11  PG Loss: -675.7017

#Games: 1067 #Frames: 1067000  Train_Max: 7313.71  Test_Score: 6870.32  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 7482.47  PG Loss: -679.3185

#Games: 1078 #Frames: 1078000  Train_Max: 7173.44  Test_Score: 7074.92  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 7402.30  PG Loss: -683.6602

#Games: 1089 #Frames: 1089000  Train_Max: 7125.07  Test_Score: 7112.39  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 7564.13  PG Loss: -687.6536

Sync from RL --> Nevo
#Games: 1100 #Frames: 1100000  Train_Max: 7262.16  Test_Score: 7136.98  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 7471.89  PG Loss: -692.0015

#Games: 1111 #Frames: 1111000  Train_Max: 7475.74  Test_Score: 7539.15  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 7649.80  PG Loss: -695.9002

#Games: 1122 #Frames: 1122000  Train_Max: 7584.84  Test_Score: 7560.56  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 7384.22  PG Loss: -699.9809

#Games: 1133 #Frames: 1133000  Train_Max: 7531.97  Test_Score: 7480.76  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 7566.45  PG Loss: -703.8987

#Games: 1144 #Frames: 1144000  Train_Max: 7429.57  Test_Score: 7347.39  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 7823.96  PG Loss: -707.9655

#Games: 1155 #Frames: 1155000  Train_Max: 7453.51  Test_Score: 7428.17  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 7888.91  PG Loss: -711.9930

#Games: 1166 #Frames: 1166000  Train_Max: 7280.85  Test_Score: 7393.58  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 7637.29  PG Loss: -716.0778

#Games: 1177 #Frames: 1177000  Train_Max: 7386.68  Test_Score: 7358.02  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 7687.47  PG Loss: -720.0308

#Games: 1188 #Frames: 1188000  Train_Max: 7408.79  Test_Score: 7402.84  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 7874.87  PG Loss: -724.2300

#Games: 1199 #Frames: 1199000  Train_Max: 7583.66  Test_Score: 7284.62  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 7540.16  PG Loss: -728.6577

Sync from RL --> Nevo
#Games: 1210 #Frames: 1210000  Train_Max: 7490.60  Test_Score: 7407.02  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 8015.66  PG Loss: -732.8569

Progress Saved
#Games: 1221 #Frames: 1221000  Train_Max: 8013.02  Test_Score: 7857.95  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 7877.98  PG Loss: -736.4048

#Games: 1232 #Frames: 1232000  Train_Max: 7910.98  Test_Score: 7887.19  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 7919.32  PG Loss: -740.5215

#Games: 1243 #Frames: 1243000  Train_Max: 8060.64  Test_Score: 7970.72  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 7827.35  PG Loss: -744.3258

#Games: 1254 #Frames: 1254000  Train_Max: 8018.11  Test_Score: 8031.46  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 7967.73  PG Loss: -748.6613

#Games: 1265 #Frames: 1265000  Train_Max: 8016.05  Test_Score: 8010.19  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 7819.63  PG Loss: -753.3043

