[TensorBoard] Logging enabled: parallel_experiments/Swimmer-v2_20250725_044206/seed_1/tensorboard_logs
[INFO] View training progress: tensorboard --logdir parallel_experiments/Swimmer-v2_20250725_044206/seed_1/tensorboard_logs
[TensorBoard] Using TensorBoard for training logging
{   'action_dim': 2,
#Games: 1243 #Frames: 1243000  Train_Max: 316.54  Test_Score: 312.64  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 60.05  PG Loss: -29.6995

#Games: 1254 #Frames: 1254000  Train_Max: 317.18  Test_Score: 317.31  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 58.33  PG Loss: -29.7493

#Games: 1265 #Frames: 1265000  Train_Max: 317.56  Test_Score: 315.88  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 67.86  PG Loss: -29.7151

#Games: 1276 #Frames: 1276000  Train_Max: 324.11  Test_Score: 323.95  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 81.44  PG Loss: -29.7461

#Games: 1287 #Frames: 1287000  Train_Max: 324.38  Test_Score: 325.16  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 44.57  PG Loss: -29.7074

#Games: 1298 #Frames: 1298000  Train_Max: 327.91  Test_Score: 325.46  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 96.94  PG Loss: -29.7075

#Games: 1309 #Frames: 1309000  Train_Max: 325.83  Test_Score: 323.62  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 62.63  PG Loss: -29.6857

Sync from RL --> Nevo
#Games: 1320 #Frames: 1320000  Train_Max: 324.70  Test_Score: 320.95  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 51.76  PG Loss: -29.7065

#Games: 1331 #Frames: 1331000  Train_Max: 326.61  Test_Score: 324.01  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 43.66  PG Loss: -29.6161

#Games: 1342 #Frames: 1342000  Train_Max: 325.43  Test_Score: 321.84  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 66.38  PG Loss: -29.6163

#Games: 1353 #Frames: 1353000  Train_Max: 327.76  Test_Score: 323.90  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 86.91  PG Loss: -29.6236

#Games: 1364 #Frames: 1364000  Train_Max: 322.92  Test_Score: 323.62  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 82.57  PG Loss: -29.6417

#Games: 1375 #Frames: 1375000  Train_Max: 319.99  Test_Score: 324.92  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 49.06  PG Loss: -29.6447

#Games: 1386 #Frames: 1386000  Train_Max: 333.46  Test_Score: 339.53  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 115.88  PG Loss: -29.6437

#Games: 1397 #Frames: 1397000  Train_Max: 338.59  Test_Score: 337.01  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 84.76  PG Loss: -29.6873

#Games: 1408 #Frames: 1408000  Train_Max: 337.24  Test_Score: 332.39  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 96.02  PG Loss: -29.7828

Progress Saved
#Games: 1419 #Frames: 1419000  Train_Max: 338.30  Test_Score: 333.68  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 63.75  PG Loss: -29.8038

Sync from RL --> Nevo
#Games: 1430 #Frames: 1430000  Train_Max: 336.10  Test_Score: 333.76  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 107.49  PG Loss: -29.8525

#Games: 1441 #Frames: 1441000  Train_Max: 349.12  Test_Score: 289.09  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 113.50  PG Loss: -29.8753

#Games: 1452 #Frames: 1452000  Train_Max: 335.43  Test_Score: 333.13  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 91.23  PG Loss: -29.9572

#Games: 1463 #Frames: 1463000  Train_Max: 342.76  Test_Score: 315.13  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 59.61  PG Loss: -30.0230

#Games: 1474 #Frames: 1474000  Train_Max: 343.39  Test_Score: 333.61  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 93.09  PG Loss: -30.0924

#Games: 1485 #Frames: 1485000  Train_Max: 349.59  Test_Score: 347.29  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 106.78  PG Loss: -30.1713

#Games: 1496 #Frames: 1496000  Train_Max: 347.04  Test_Score: 351.44  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 92.00  PG Loss: -30.1649

#Games: 1507 #Frames: 1507000  Train_Max: 342.15  Test_Score: 345.27  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 89.30  PG Loss: -30.1673

#Games: 1518 #Frames: 1518000  Train_Max: 344.65  Test_Score: 345.27  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 72.24  PG Loss: -30.1350

#Games: 1529 #Frames: 1529000  Train_Max: 352.59  Test_Score: 352.51  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 66.89  PG Loss: -30.1841

Sync from RL --> Nevo
#Games: 1540 #Frames: 1540000  Train_Max: 349.58  Test_Score: 340.49  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 63.29  PG Loss: -30.2506

#Games: 1551 #Frames: 1551000  Train_Max: 346.98  Test_Score: 346.57  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 82.35  PG Loss: -30.2699

